=== Launch 1 / 5 starting at 0.0017917s ===
[PerfBench.ControlModel] writing C:\Users\andersonch\Code\reactor3\docs\specs\047\phase1-results\LAPTOP-4MEP83VI\2026-05-26-arm64-perf-typed-5x5\perfbench-m4-m5-launch1.jsonl
[run] M4 Dispatch_Switch_Cold Direct
  rep=0 mean=28221.9ns alloc=5096824B gen0=1 
  rep=1 mean=28318.6ns alloc=5097088B gen0=1 
  rep=2 mean=29065.9ns alloc=5096824B gen0=1 
  rep=3 mean=30068.1ns alloc=5096824B gen0=1 
  rep=4 mean=31622.4ns alloc=5096824B gen0=1 
[run] M4 Dispatch_Switch_Cold ReactorToday
  rep=0 mean=79550.6ns alloc=10462576B gen0=6 
  rep=1 mean=86593.0ns alloc=10556912B gen0=6 
  rep=2 mean=105833.6ns alloc=10267432B gen0=6 
  rep=3 mean=96271.5ns alloc=10286664B gen0=5 
  rep=4 mean=112078.0ns alloc=10089024B gen0=6 
[run] M4 Dispatch_Switch_Cold ReactorV2
  rep=0 mean=151095.8ns alloc=10195808B gen0=6 
  rep=1 mean=161447.4ns alloc=10257352B gen0=6 
  rep=2 mean=173460.9ns alloc=10113576B gen0=6 
  rep=3 mean=183222.2ns alloc=10257352B gen0=6 
  rep=4 mean=195218.0ns alloc=10244672B gen0=6 
[run] M5 Dispatch_Switch_Warm Direct
  rep=0 mean=56070.4ns alloc=5096744B gen0=1 
  rep=1 mean=59093.9ns alloc=5096744B gen0=1 
  rep=2 mean=59173.7ns alloc=5096744B gen0=1 
  rep=3 mean=60974.2ns alloc=5096744B gen0=1 
  rep=4 mean=63309.0ns alloc=5096744B gen0=1 
[run] M5 Dispatch_Switch_Warm ReactorToday
  rep=0 mean=254631.1ns alloc=10207256B gen0=6 
  rep=1 mean=268360.1ns alloc=10268800B gen0=6 
  rep=2 mean=278922.2ns alloc=10207984B gen0=6 
  rep=3 mean=289229.1ns alloc=10289384B gen0=6 
  rep=4 mean=302711.5ns alloc=10104856B gen0=6 
[run] M5 Dispatch_Switch_Warm ReactorV2
  rep=0 mean=328845.8ns alloc=10278352B gen0=6 
  rep=1 mean=344433.3ns alloc=10256936B gen0=6 
  rep=2 mean=354454.9ns alloc=10113304B gen0=6 
  rep=3 mean=364729.5ns alloc=10519104B gen0=6 
  rep=4 mean=382817.8ns alloc=10113576B gen0=6 
[done] C:\Users\andersonch\Code\reactor3\docs\specs\047\phase1-results\LAPTOP-4MEP83VI\2026-05-26-arm64-perf-typed-5x5\perfbench-m4-m5-launch1.jsonl
=== Launch 2 / 5 starting at 52.8397083s ===
[PerfBench.ControlModel] writing C:\Users\andersonch\Code\reactor3\docs\specs\047\phase1-results\LAPTOP-4MEP83VI\2026-05-26-arm64-perf-typed-5x5\perfbench-m4-m5-launch2.jsonl
[run] M4 Dispatch_Switch_Cold Direct
  rep=0 mean=27453.3ns alloc=5096824B gen0=1 
  rep=1 mean=29750.2ns alloc=5097088B gen0=1 
  rep=2 mean=30324.8ns alloc=5096824B gen0=1 
  rep=3 mean=32124.7ns alloc=5096824B gen0=1 
  rep=4 mean=30797.1ns alloc=5096824B gen0=1 
[run] M4 Dispatch_Switch_Cold ReactorToday
  rep=0 mean=54723.0ns alloc=10381264B gen0=6 
  rep=1 mean=65439.7ns alloc=10308656B gen0=6 
  rep=2 mean=76577.2ns alloc=10208304B gen0=6 
  rep=3 mean=79058.1ns alloc=10281976B gen0=5 
  rep=4 mean=99334.8ns alloc=10088608B gen0=6 
[run] M4 Dispatch_Switch_Cold ReactorV2
  rep=0 mean=134313.7ns alloc=10195392B gen0=6 
