=== M1-M8 (iterations=5000, reps=5) ===
[PerfBench.ControlModel] writing C:\Users\andersonch\Code\reactor3\docs\specs\047\phase1-results\LAPTOP-4MEP83VI\2026-05-26-arm64-perf\perfbench-controlmodel-m1-m8.jsonl
[run] M1 Mount_Leaf_NoCallback Direct
  rep=0 mean=37966.6ns alloc=3771824B gen0=1 
  rep=1 mean=36478.4ns alloc=3772088B gen0=1 
  rep=2 mean=38808.9ns alloc=3771824B gen0=1 
  rep=3 mean=38266.5ns alloc=3771824B gen0=1 
  rep=4 mean=35799.1ns alloc=3771824B gen0=1 
[run] M1 Mount_Leaf_NoCallback ReactorToday
  rep=0 mean=35084.3ns alloc=5255112B gen0=2 
  rep=1 mean=54357.2ns alloc=5419320B gen0=2 
  rep=2 mean=63868.7ns alloc=5255112B gen0=2 
  rep=3 mean=61112.1ns alloc=5419320B gen0=2 
  rep=4 mean=64207.1ns alloc=5419056B gen0=2 
[run] M1 Mount_Leaf_NoCallback ReactorV2
  rep=0 mean=56757.2ns alloc=5419320B gen0=2 
  rep=1 mean=56790.9ns alloc=5419056B gen0=2 
  rep=2 mean=59839.2ns alloc=5255376B gen0=2 
  rep=3 mean=64422.1ns alloc=5419056B gen0=2 
  rep=4 mean=66165.9ns alloc=5418896B gen0=2 
[run] M2 Mount_Leaf_OneCallback Direct
  rep=0 mean=70699.2ns alloc=13393432B gen0=3 
  rep=1 mean=82350.0ns alloc=13482520B gen0=4 
  rep=2 mean=60595.9ns alloc=13145848B gen0=2 
  rep=3 mean=104773.8ns alloc=13475144B gen0=3 
  rep=4 mean=130948.7ns alloc=13392960B gen0=3 
[run] M2 Mount_Leaf_OneCallback ReactorToday
  rep=0 mean=54540.5ns alloc=18684128B gen0=3 
  rep=1 mean=69491.1ns alloc=18372016B gen0=4 
  rep=2 mean=60622.8ns alloc=18364376B gen0=3 
  rep=3 mean=81616.0ns alloc=18372016B gen0=4 
  rep=4 mean=108746.2ns alloc=18364656B gen0=3 
[run] M2 Mount_Leaf_OneCallback ReactorV2
  rep=0 mean=97185.6ns alloc=19377472B gen0=5 
  rep=1 mean=114676.1ns alloc=18244208B gen0=6 
  rep=2 mean=113066.0ns alloc=18392592B gen0=5 
  rep=3 mean=138018.2ns alloc=18406864B gen0=6 
  rep=4 mean=125964.5ns alloc=18383456B gen0=4 
[run] M3 Mount_Leaf_ThreeCallbacks Direct
  rep=0 mean=154900.6ns alloc=26904704B gen0=10 
  rep=1 mean=186467.5ns alloc=26941744B gen0=11 
  rep=2 mean=247662.1ns alloc=26679840B gen0=11 
  rep=3 mean=318818.9ns alloc=26904704B gen0=10 
  rep=4 mean=402037.3ns alloc=27203888B gen0=11 
[run] M3 Mount_Leaf_ThreeCallbacks ReactorToday
  rep=0 mean=142332.9ns alloc=42716520B gen0=13 
  rep=1 mean=175471.4ns alloc=43310336B gen0=13 
  rep=2 mean=213032.5ns alloc=42880464B gen0=13 
  rep=3 mean=249882.1ns alloc=42661520B gen0=13 
  rep=4 mean=269715.3ns alloc=44481800B gen0=17 
[run] M3 Mount_Leaf_ThreeCallbacks ReactorV2
  rep=0 mean=131721.0ns alloc=42879920B gen0=13 
  rep=1 mean=166940.0ns alloc=42653456B gen0=12 
  rep=2 mean=198328.2ns alloc=43310064B gen0=13 
  rep=3 mean=241652.1ns alloc=42730832B gen0=13 
