benchId,benchName,variant,machineSku,architecture,configuration,timestamp,iterations,repetition,meanNs,allocBytes,gen0,heapDeltaBytes,counter,counterLabel,status
M4,Dispatch_Switch_Cold,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:18.5784366+00:00,5000,0,28221.94,5096824,1,1797840,0,,ok
M4,Dispatch_Switch_Cold,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:18.7597881+00:00,5000,1,28318.56,5097088,1,1781048,0,,ok
M4,Dispatch_Switch_Cold,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:18.9246879+00:00,5000,2,29065.92,5096824,1,1797496,0,,ok
M4,Dispatch_Switch_Cold,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:19.1001570+00:00,5000,3,30068.08,5096824,1,1789712,0,,ok
M4,Dispatch_Switch_Cold,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:19.2878984+00:00,5000,4,31622.40,5096824,1,1789688,0,,ok
M4,Dispatch_Switch_Cold,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:20.6894399+00:00,5000,0,79550.62,10462576,6,1473632,0,,ok
M4,Dispatch_Switch_Cold,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:21.1761600+00:00,5000,1,86592.96,10556912,6,1368744,0,,ok
M4,Dispatch_Switch_Cold,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:21.7836990+00:00,5000,2,105833.56,10267432,6,760232,0,,ok
M4,Dispatch_Switch_Cold,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:22.3514552+00:00,5000,3,96271.50,10286664,5,2039552,0,,ok
M4,Dispatch_Switch_Cold,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:23.0214681+00:00,5000,4,112078.02,10089024,6,1508680,0,,ok
M4,Dispatch_Switch_Cold,ReactorV2,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:25.5961234+00:00,5000,0,151095.82,10195808,6,1843248,0,,ok
M4,Dispatch_Switch_Cold,ReactorV2,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T18:04:26.5705250+00:00,5000,1,161447.44,10257352,6,1798760,0,,ok
