"PackageId","Version","Status","Source"
"Appium.WebDriver","4.4.5","AvailableOrHydrated","Feed/Upstream"
"coverlet.collector","6.0.0","AvailableOrHydrated","Feed/Upstream"
"coverlet.collector","10.0.1","AvailableOrHydrated","Feed/Upstream"
"GitHub.Copilot.SDK","0.1.32","AvailableOrHydrated","Feed/Upstream"
"GitHub.Copilot.SDK","0.3.0","AvailableOrHydrated","Feed/Upstream"
"MessageFormat","8.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.Analyzers","5.3.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.CSharp","4.8.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.CSharp.Analyzer.Testing","1.1.2","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.CSharp.CodeFix.Testing","1.1.2","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.CSharp.Workspaces","4.8.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Data.Sqlite","9.0.4","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Diagnostics.Tracing.TraceEvent","3.1.16","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Extensions.Logging.Abstractions","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Graphics.Win2D","1.4.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.JavaScript.Hermes","0.0.0-2512.22001-bc3d0ed7","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NET.Test.Sdk","17.9.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NET.Test.Sdk","17.12.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.ReactNative","0.82.5","AvailableOrHydrated","Feed/Upstream"
"Microsoft.ReactNative.Cxx","0.82.5","AvailableOrHydrated","Feed/Upstream"
"Microsoft.VCRTForwarders.140","1.0.2-rc","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Web.WebView2","1.0.3179.45","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Windows.CppWinRT","2.0.230706.1","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Windows.SDK.BuildTools","10.0.26100.4654","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Windows.SDK.BuildTools.MSIX","1.7.20250829.1","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK","1.8.260209005","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK","2.0.1","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.AI","1.8.47","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.Base","1.8.251216001","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.DWrite","1.8.25122902","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.Foundation","1.8.260203002","AvailableOrHydrated","Feed/Upstream"
