"PackageId","Version","Status","Source"
"Microsoft.WindowsAppSDK.InteractiveExperiences","1.8.260125001","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.ML","1.8.2124","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.Runtime","1.8.260209005","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.Widgets","1.8.251231004","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsAppSDK.WinUI","1.8.260204000","AvailableOrHydrated","Feed/Upstream"
"MSTest.TestAdapter","3.0.2","AvailableOrHydrated","Feed/Upstream"
"MSTest.TestFramework","3.0.2","AvailableOrHydrated","Feed/Upstream"
"Nerdbank.MessagePack","1.1.62","AvailableOrHydrated","Feed/Upstream"
"Nerdbank.MessagePack","1.2.4","AvailableOrHydrated","Feed/Upstream"
"SharpFuzz","2.1.1","AvailableOrHydrated","Feed/Upstream"
"System.Drawing.Common","9.0.4","AvailableOrHydrated","Feed/Upstream"
"System.Formats.Asn1","10.0.8","AvailableOrHydrated","Feed/Upstream"
"System.Reflection.Emit.Lightweight","4.3.0","AvailableOrHydrated","Feed/Upstream"
"xunit","2.9.3","AvailableOrHydrated","Feed/Upstream"
"xunit.runner.visualstudio","3.0.2","AvailableOrHydrated","Feed/Upstream"
"YamlDotNet","16.3.0","AvailableOrHydrated","Feed/Upstream"
"minver-cli","5.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NET.ILLink.Tasks","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.Windows.SDK.NET.Ref","10.0.22621.57","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Host.win-arm64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"NETStandard.Library","2.0.3","AvailableOrHydrated","Feed/Upstream"
"Castle.Core","5.1.1","AvailableOrHydrated","Feed/Upstream"
"DotNetSeleniumExtras.PageObjects","3.11.0","AvailableOrHydrated","Feed/Upstream"
"Newtonsoft.Json","13.0.3","AvailableOrHydrated","Feed/Upstream"
"Selenium.Support","4.15.0","AvailableOrHydrated","Feed/Upstream"
"Selenium.WebDriver","4.15.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.DotNet.ILCompiler","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Runtime.win-x64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Runtime.win-x64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Runtime.win-x64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Runtime.win-arm64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Runtime.win-arm64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Runtime.win-arm64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Runtime.win-x64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Runtime.win-x64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Runtime.win-x64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Runtime.win-arm64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Runtime.win-arm64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Runtime.win-arm64","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Ref","8.0.27","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Ref","8.0.27","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Ref","8.0.27","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Ref","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.WindowsDesktop.App.Ref","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.AspNetCore.App.Ref","10.0.8","AvailableOrHydrated","Feed/Upstream"
"Microsoft.NETCore.App.Runtime.NativeAOT.win-x64","9.0.0","AvailableOrHydrated","Feed/Upstream"
"runtime.win-x64.Microsoft.DotNet.ILCompiler","9.0.0","AvailableOrHydrated","Feed/Upstream"
"Microsoft.CodeAnalysis.BinSkim","4.4.9.9","AvailableOrHydrated","Feed/Upstream"
"Mono.Cecil","0.11.6","AvailableOrHydrated","Feed/Upstream"
"Xunit.SkippableFact","1.5.23","AvailableOrHydrated","Feed/Upstream"
