[PerfBench.ControlModel] writing C:\Users\andersonch\Code\reactor3\docs\specs\047\phase1-results\LAPTOP-4MEP83VI\2026-05-26-arm64-perf-typed-gate\perfbench-m1-m8.jsonl
[run] M1 Mount_Leaf_NoCallback Direct
  rep=0 mean=34917.9ns alloc=3771824B gen0=1 
  rep=1 mean=36213.7ns alloc=3772088B gen0=1 
  rep=2 mean=36068.9ns alloc=3771824B gen0=1 
  rep=3 mean=31865.0ns alloc=3771824B gen0=1 
  rep=4 mean=34794.6ns alloc=3771824B gen0=1 
  rep=5 mean=31449.5ns alloc=3772088B gen0=1 
  rep=6 mean=35587.2ns alloc=3771824B gen0=1 
  rep=7 mean=33031.3ns alloc=3771824B gen0=1 
  rep=8 mean=45154.2ns alloc=3771824B gen0=1 
  rep=9 mean=66158.0ns alloc=3772088B gen0=1 
[run] M1 Mount_Leaf_NoCallback ReactorToday
  rep=0 mean=60833.7ns alloc=5255112B gen0=2 
  rep=1 mean=61056.2ns alloc=5419320B gen0=2 
  rep=2 mean=67140.1ns alloc=5255112B gen0=2 
  rep=3 mean=72817.0ns alloc=5419320B gen0=2 
  rep=4 mean=71810.9ns alloc=5419056B gen0=2 
  rep=5 mean=72581.8ns alloc=5255112B gen0=2 
  rep=6 mean=78216.8ns alloc=5419320B gen0=2 
  rep=7 mean=78662.5ns alloc=5418896B gen0=2 
  rep=8 mean=83318.4ns alloc=5255216B gen0=2 
  rep=9 mean=83666.1ns alloc=5418896B gen0=2 
[run] M1 Mount_Leaf_NoCallback ReactorV2
  rep=0 mean=58906.5ns alloc=5419160B gen0=2 
  rep=1 mean=72302.9ns alloc=5418896B gen0=2 
  rep=2 mean=64264.5ns alloc=5255216B gen0=2 
  rep=3 mean=74618.6ns alloc=5418896B gen0=2 
  rep=4 mean=71075.9ns alloc=5418896B gen0=2 
  rep=5 mean=72835.9ns alloc=5255216B gen0=2 
  rep=6 mean=78016.3ns alloc=5418896B gen0=2 
  rep=7 mean=88265.7ns alloc=5419160B gen0=2 
  rep=8 mean=78106.7ns alloc=5254952B gen0=2 
  rep=9 mean=88066.2ns alloc=5418896B gen0=2 
[run] M2 Mount_Leaf_OneCallback Direct
  rep=0 mean=78311.6ns alloc=13393432B gen0=3 
  rep=1 mean=79779.3ns alloc=13564440B gen0=4 
  rep=2 mean=75607.8ns alloc=13139096B gen0=2 
  rep=3 mean=107251.2ns alloc=13474728B gen0=3 
  rep=4 mean=121018.3ns alloc=13153848B gen0=4 
  rep=5 mean=86490.2ns alloc=13556752B gen0=3 
  rep=6 mean=142062.6ns alloc=13146472B gen0=3 
  rep=7 mean=152968.6ns alloc=13556752B gen0=3 
  rep=8 mean=157699.5ns alloc=13146472B gen0=3 
  rep=9 mean=112274.6ns alloc=13556752B gen0=3 
[run] M2 Mount_Leaf_OneCallback ReactorToday
  rep=0 mean=96476.4ns alloc=17790576B gen0=3 
  rep=1 mean=118048.8ns alloc=18289520B gen0=4 
  rep=2 mean=117414.8ns alloc=18364432B gen0=3 
  rep=3 mean=155860.0ns alloc=18289784B gen0=4 
  rep=4 mean=145521.5ns alloc=18282144B gen0=3 
  rep=5 mean=186535.5ns alloc=18371808B gen0=4 
  rep=6 mean=174111.3ns alloc=18282144B gen0=3 
  rep=7 mean=207128.8ns alloc=18289784B gen0=4 
  rep=8 mean=193188.9ns alloc=18364432B gen0=3 
  rep=9 mean=250652.2ns alloc=18147872B gen0=6 
[run] M2 Mount_Leaf_OneCallback ReactorV2
  rep=0 mean=247528.0ns alloc=17655344B gen0=5 
  rep=1 mean=256294.1ns alloc=17300048B gen0=5 
  rep=2 mean=196845.4ns alloc=19362920B gen0=4 
  rep=3 mean=166064.6ns alloc=17876576B gen0=3 
  rep=4 mean=183956.5ns alloc=17801608B gen0=3 
  rep=5 mean=98673.1ns alloc=22761248B gen0=2 
  rep=6 mean=196961.5ns alloc=16242480B gen0=3 
  rep=7 mean=85456.1ns alloc=15492448B gen0=2 
  rep=8 mean=103744.0ns alloc=20169320B gen0=2 
  rep=9 mean=118233.7ns alloc=25330016B gen0=2 
[run] M3 Mount_Leaf_ThreeCallbacks Direct
  rep=0 mean=392047.5ns alloc=27161512B gen0=7 
  rep=1 mean=434746.4ns alloc=26071728B gen0=7 
  rep=2 mean=451723.8ns alloc=31089320B gen0=6 
  rep=3 mean=463075.0ns alloc=27152224B gen0=6 
  rep=4 mean=569908.1ns alloc=26374048B gen0=7 
  rep=5 mean=629975.8ns alloc=25850688B gen0=7 
  rep=6 mean=662756.6ns alloc=32315096B gen0=6 
  rep=7 mean=724136.9ns alloc=25849384B gen0=7 
  rep=8 mean=835150.7ns alloc=25842712B gen0=7 
  rep=9 mean=896776.0ns alloc=25842712B gen0=7 
[run] M3 Mount_Leaf_ThreeCallbacks ReactorToday
  rep=0 mean=387217.1ns alloc=41837280B gen0=9 
  rep=1 mean=457162.8ns alloc=43120256B gen0=8 
  rep=2 mean=475464.2ns alloc=49790880B gen0=7 
  rep=3 mean=580494.6ns alloc=41812952B gen0=7 
  rep=4 mean=567275.3ns alloc=41807840B gen0=7 
  rep=5 mean=666589.3ns alloc=47056312B gen0=7 
  rep=6 mean=630849.3ns alloc=58832736B gen0=6 
  rep=7 mean=851458.0ns alloc=48046216B gen0=7 
  rep=8 mean=826213.7ns alloc=41798696B gen0=6 
  rep=9 mean=930514.5ns alloc=43109520B gen0=6 
[run] M3 Mount_Leaf_ThreeCallbacks ReactorV2
  rep=0 mean=1331468.8ns alloc=46517520B gen0=6 
  rep=1 mean=1653065.6ns alloc=79816952B gen0=6 
  rep=2 mean=1870134.8ns alloc=41805240B gen0=6 
  rep=3 mean=2281838.8ns alloc=46186840B gen0=7 
  rep=4 mean=2120808.4ns alloc=41806552B gen0=7 
  rep=5 mean=2116599.4ns alloc=55131016B gen0=8 
  rep=6 mean=2175507.0ns alloc=41806552B gen0=7 
  rep=7 mean=2100892.2ns alloc=41798696B gen0=6 
  rep=8 mean=2373729.6ns alloc=44425176B gen0=7 
  rep=9 mean=2981989.5ns alloc=41686248B gen0=9 
[run] M4 Dispatch_Switch_Cold Direct
  rep=0 mean=573000.6ns alloc=4933064B gen0=1 
  rep=1 mean=608909.8ns alloc=7554344B gen0=1 
  rep=2 mean=555819.6ns alloc=4932800B gen0=1 
  rep=3 mean=572991.8ns alloc=4932800B gen0=1 
  rep=4 mean=537193.7ns alloc=4933064B gen0=1 
  rep=5 mean=496205.3ns alloc=4932800B gen0=1 
  rep=6 mean=508753.6ns alloc=7554344B gen0=1 
  rep=7 mean=546859.3ns alloc=4932800B gen0=1 
  rep=8 mean=615619.5ns alloc=4933064B gen0=1 
  rep=9 mean=533317.5ns alloc=4932800B gen0=1 
[run] M4 Dispatch_Switch_Cold ReactorToday
  rep=0 mean=91484.4ns alloc=12311400B gen0=1 
  rep=1 mean=147444.3ns alloc=9739360B gen0=3 
  rep=2 mean=174487.4ns alloc=9665192B gen0=4 
  rep=3 mean=186148.5ns alloc=9706872B gen0=3 
  rep=4 mean=167827.9ns alloc=9764168B gen0=3 
  rep=5 mean=183870.7ns alloc=9665368B gen0=3 
  rep=6 mean=185334.4ns alloc=9710488B gen0=3 
  rep=7 mean=212331.4ns alloc=9699024B gen0=3 
  rep=8 mean=155900.8ns alloc=9656440B gen0=2 
  rep=9 mean=201183.6ns alloc=9697504B gen0=2 
[run] M4 Dispatch_Switch_Cold ReactorV2
  rep=0 mean=159311.9ns alloc=12313528B gen0=2 
  rep=1 mean=156641.3ns alloc=9651208B gen0=2 
  rep=2 mean=210005.1ns alloc=9691808B gen0=2 
  rep=3 mean=222808.4ns alloc=9691600B gen0=2 
  rep=4 mean=203179.0ns alloc=9642784B gen0=2 
  rep=5 mean=116801.0ns alloc=30647896B gen0=1 
  rep=6 mean=232544.6ns alloc=9683848B gen0=2 
  rep=7 mean=243918.6ns alloc=9683848B gen0=2 
  rep=8 mean=249584.7ns alloc=9683848B gen0=2 
  rep=9 mean=243801.5ns alloc=9650744B gen0=2 
[run] M5 Dispatch_Switch_Warm Direct
  rep=0 mean=99286.9ns alloc=4932800B gen0=1 
  rep=1 mean=105956.6ns alloc=7554344B gen0=1 
  rep=2 mean=108007.3ns alloc=4932800B gen0=1 
  rep=3 mean=107115.9ns alloc=4932800B gen0=1 
  rep=4 mean=118969.1ns alloc=4932800B gen0=1 
  rep=5 mean=128131.3ns alloc=4932800B gen0=1 
  rep=6 mean=116911.7ns alloc=4932800B gen0=1 
  rep=7 mean=124926.9ns alloc=4932800B gen0=1 
  rep=8 mean=125577.4ns alloc=4932800B gen0=1 
  rep=9 mean=119552.7ns alloc=4932800B gen0=1 
[run] M5 Dispatch_Switch_Warm ReactorToday
  rep=0 mean=112448.6ns alloc=9927672B gen0=3 
  rep=1 mean=127969.9ns alloc=9701632B gen0=3 
  rep=2 mean=140094.8ns alloc=9707288B gen0=3 
  rep=3 mean=155926.4ns alloc=9665512B gen0=3 
  rep=4 mean=160211.5ns alloc=9701336B gen0=3 
  rep=5 mean=171904.3ns alloc=12336424B gen0=3 
  rep=6 mean=188899.2ns alloc=9657272B gen0=3 
  rep=7 mean=181226.5ns alloc=9706744B gen0=3 
  rep=8 mean=204761.1ns alloc=9699440B gen0=3 
  rep=9 mean=213585.3ns alloc=9657960B gen0=3 
[run] M5 Dispatch_Switch_Warm ReactorV2
  rep=0 mean=182382.5ns alloc=9693664B gen0=3 
  rep=1 mean=188967.8ns alloc=9685816B gen0=3 
  rep=2 mean=181865.9ns alloc=9652296B gen0=3 
