benchId,benchName,variant,machineSku,architecture,configuration,timestamp,iterations,repetition,meanNs,allocBytes,gen0,heapDeltaBytes,counter,counterLabel,status
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2435850+00:00,1000,0,24.50,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2683662+00:00,1000,1,22.70,40,0,12256,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2691906+00:00,1000,2,22.00,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2696286+00:00,1000,3,21.90,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2700329+00:00,1000,4,21.80,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2704120+00:00,1000,5,21.70,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2707853+00:00,1000,6,20.30,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2711623+00:00,1000,7,20.30,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2716153+00:00,1000,8,25.20,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.2740386+00:00,1000,9,1634.40,40,0,16448,0,,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.4838824+00:00,1000,0,38779.50,1766480,0,1776208,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.5377240+00:00,1000,1,40512.60,1670912,0,1685816,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.5921059+00:00,1000,2,41026.90,1758264,0,1767968,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.6419958+00:00,1000,3,36696.60,1687320,0,1694064,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.6998516+00:00,1000,4,41058.40,1758264,0,1767968,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.7536169+00:00,1000,5,38054.70,1670912,0,1685824,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.8163178+00:00,1000,6,47573.90,1758528,0,1767968,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,Arm64,Release,2026-05-26T15:51:02.8836518+00:00,1000,7,49530.20,1670912,0,1677632,-1,ModifierEHSAllocations,ok
