benchId,benchName,variant,machineSku,architecture,configuration,timestamp,iterations,repetition,meanNs,allocBytes,gen0,heapDeltaBytes,counter,counterLabel,status
M10,EventHandlerState_Alloc,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:24.7931708+00:00,1000,0,108891.80,3060712,0,3075360,0,,ok
M10,EventHandlerState_Alloc,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:25.0074084+00:00,1000,1,113209.60,2855496,0,2878768,0,,ok
M10,EventHandlerState_Alloc,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:25.1322999+00:00,1000,2,107016.10,3060712,0,3084000,0,,ok
M10,EventHandlerState_Alloc,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:25.2655373+00:00,1000,3,115362.40,2855496,0,2886968,0,,ok
M10,EventHandlerState_Alloc,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:25.3993267+00:00,1000,4,111759.40,3060712,0,3084000,0,,ok
M10,EventHandlerState_Alloc,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:25.9783294+00:00,1000,0,149678.20,4342520,0,4362288,0,,ok
M10,EventHandlerState_Alloc,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:26.1844236+00:00,1000,1,146825.30,3809520,0,3829728,0,,ok
M10,EventHandlerState_Alloc,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:26.4273453+00:00,1000,2,165167.90,4178472,0,4200976,0,,ok
M10,EventHandlerState_Alloc,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:26.6503321+00:00,1000,3,142418.10,3805040,0,3832096,0,,ok
M10,EventHandlerState_Alloc,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:26.8524537+00:00,1000,4,124482.80,4114472,0,4135216,0,,ok
M10,EventHandlerState_Alloc,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:27.4157701+00:00,1000,0,121792.70,4032448,0,4053208,0,,ok
M10,EventHandlerState_Alloc,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:27.6322686+00:00,1000,1,116646.10,3827440,0,3848232,0,,ok
M10,EventHandlerState_Alloc,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:27.8517700+00:00,1000,2,113456.40,3940912,0,3962696,0,,ok
M10,EventHandlerState_Alloc,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.0599875+00:00,1000,3,111630.40,3478408,0,3503360,0,,ok
M10,EventHandlerState_Alloc,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.2702565+00:00,1000,4,106100.50,3972392,0,3994656,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.3801527+00:00,1000,0,179.80,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.4693040+00:00,1000,1,57.60,40,0,456,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.5424109+00:00,1000,2,112.70,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.6181870+00:00,1000,3,87.00,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:28.6928089+00:00,1000,4,120.30,40,0,8224,0,,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:29.5639283+00:00,1000,0,166771.90,1896776,0,1912544,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:29.9019676+00:00,1000,1,172015.50,1719392,0,1734560,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:30.2176494+00:00,1000,2,162451.60,1560672,0,1578984,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:30.5356720+00:00,1000,3,158192.10,1571856,0,1587080,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:30.8648223+00:00,1000,4,162356.50,1888560,0,1904576,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:31.7686590+00:00,1000,0,194987.90,1560672,0,1578968,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:32.1837724+00:00,1000,1,198478.80,1916392,0,1931400,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:32.5757306+00:00,1000,2,169162.80,1724616,0,1740856,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:32.9381701+00:00,1000,3,165231.80,1555448,0,1570744,-1,ModifierEHSAllocations,ok
M11,ModifierEHS_Frequency,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:33.2854822+00:00,1000,4,162503.10,1560672,0,1576864,-1,ModifierEHSAllocations,ok
M12,Pool_Rent_HotPath,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:34.4747740+00:00,1000,0,306263.20,891216,0,904000,0,,ok
M12,Pool_Rent_HotPath,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:34.9156940+00:00,1000,1,297138.30,727272,0,741320,0,,ok
M12,Pool_Rent_HotPath,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:35.3661134+00:00,1000,2,308058.20,727272,0,741320,0,,ok
M12,Pool_Rent_HotPath,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:35.8200971+00:00,1000,3,296809.90,727536,0,740128,0,,ok
M12,Pool_Rent_HotPath,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:36.2747527+00:00,1000,4,298598.90,727272,0,740088,0,,ok
M12,Pool_Rent_HotPath,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:37.4829972+00:00,1000,0,321293.30,1055272,0,1069008,0,,ok
M12,Pool_Rent_HotPath,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:37.9678470+00:00,1000,1,322927.30,1055272,0,1068944,0,,ok
M12,Pool_Rent_HotPath,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:38.4525878+00:00,1000,2,322734.40,1055272,0,1069008,0,,ok
M12,Pool_Rent_HotPath,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:38.9377750+00:00,1000,3,323258.90,1219216,0,1233000,0,,ok
M12,Pool_Rent_HotPath,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:39.4374507+00:00,1000,4,329352.50,1055192,0,1069096,0,,ok
M12,Pool_Rent_HotPath,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:40.7698195+00:00,1000,0,325911.90,1055192,0,1069096,0,,ok
M12,Pool_Rent_HotPath,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:41.2628592+00:00,1000,1,317600.90,1055192,0,1069032,0,,ok
M12,Pool_Rent_HotPath,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:41.7726544+00:00,1000,2,321223.40,1219136,0,1233008,0,,ok
M12,Pool_Rent_HotPath,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:42.2698449+00:00,1000,3,314933.30,1055192,0,1069096,0,,ok
M12,Pool_Rent_HotPath,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:42.7749295+00:00,1000,4,325737.20,1055192,0,1068984,0,,ok
M13,Setters_Suppression_Scope,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:42.9662859+00:00,1000,0,40.40,24040,0,24672,0,,ok
M13,Setters_Suppression_Scope,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:43.1375493+00:00,1000,1,116.90,24040,0,24672,0,,ok
M13,Setters_Suppression_Scope,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:43.3146098+00:00,1000,2,212.90,24040,0,24672,0,,ok
M13,Setters_Suppression_Scope,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:43.4878570+00:00,1000,3,112.50,24040,0,24672,0,,ok
M13,Setters_Suppression_Scope,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:43.6575586+00:00,1000,4,58.00,24040,0,24672,0,,ok
M13,Setters_Suppression_Scope,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:43.8505150+00:00,1000,0,942.80,29656,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.0318918+00:00,1000,1,918.40,29392,0,32896,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.2093312+00:00,1000,2,848.90,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.3851233+00:00,1000,3,807.70,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.5698736+00:00,1000,4,930.70,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.7436240+00:00,1000,0,786.10,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:44.9194314+00:00,1000,1,1440.80,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:45.0944475+00:00,1000,2,878.40,29392,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:45.2735111+00:00,1000,3,1195.70,29656,0,36928,1,OnIsOnChangedFireCount,ok
M13,Setters_Suppression_Scope,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:46:45.4481882+00:00,1000,4,963.70,29392,0,36928,1,OnIsOnChangedFireCount,ok
M9,Update_AllChanged,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:20.5617240+00:00,500,0,5628930.00,156508688,24,6904608,0,,ok
M9,Update_AllChanged,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:24.4410875+00:00,500,1,7101144.40,156508688,24,6928752,0,,ok
M9,Update_AllChanged,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:28.1719474+00:00,500,2,7032302.60,156467624,24,6830648,0,,ok
M9,Update_AllChanged,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:32.1236581+00:00,500,3,7439189.00,156508688,24,6920504,0,,ok
M9,Update_AllChanged,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:35.8921429+00:00,500,4,7117391.60,156467624,24,6830648,0,,ok
M9,Update_AllChanged,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:47.9396074+00:00,500,0,7694859.40,156467888,24,6830384,0,,ok
M9,Update_AllChanged,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:52.0314689+00:00,500,1,7692362.80,156549648,24,7002584,0,,ok
M9,Update_AllChanged,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:55.8315151+00:00,500,2,7104005.00,156467624,24,6830648,0,,ok
M9,Update_AllChanged,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:47:59.6187261+00:00,500,3,7167211.60,156467624,24,6830648,0,,ok
M9,Update_AllChanged,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:48:02.9796785+00:00,500,4,6287389.80,156467624,24,6830648,0,,ok
M1,Mount_Leaf_NoCallback,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:29.6234674+00:00,5000,0,607942.42,3771824,1,1575080,0,,ok
M1,Mount_Leaf_NoCallback,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:32.6433274+00:00,5000,1,564025.24,3771824,1,1579216,0,,ok
M1,Mount_Leaf_NoCallback,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:35.5927268+00:00,5000,2,581440.46,3772088,1,1575616,0,,ok
M1,Mount_Leaf_NoCallback,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:38.5590660+00:00,5000,3,579445.40,3771824,1,1575320,0,,ok
M1,Mount_Leaf_NoCallback,Direct,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:41.7951506+00:00,5000,4,632569.94,3771824,1,1575584,0,,ok
M1,Mount_Leaf_NoCallback,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:51.2504744+00:00,5000,0,622354.00,5092088,1,1625944,0,,ok
M1,Mount_Leaf_NoCallback,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:54.6186950+00:00,5000,1,638517.96,5091824,1,1789624,0,,ok
M1,Mount_Leaf_NoCallback,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:07:57.9550459+00:00,5000,2,629534.26,5091824,1,1789624,0,,ok
M1,Mount_Leaf_NoCallback,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:01.3932137+00:00,5000,3,644991.16,5091824,1,1781400,0,,ok
M1,Mount_Leaf_NoCallback,ReactorToday,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:04.9485153+00:00,5000,4,660052.04,5092088,1,1789888,0,,ok
M1,Mount_Leaf_NoCallback,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:14.7579044+00:00,5000,0,652315.66,5091824,1,1625680,0,,ok
M1,Mount_Leaf_NoCallback,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:18.3909269+00:00,5000,1,656948.96,5091824,1,1789624,0,,ok
M1,Mount_Leaf_NoCallback,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:22.1194470+00:00,5000,2,676435.00,5092088,1,1789888,0,,ok
M1,Mount_Leaf_NoCallback,ReactorV2,LAPTOP-4MEP83VI,X64,Release,2026-05-25T17:08:25.8289406+00:00,5000,3,671428.18,5091824,1,1781400,0,,ok
